keys,en
Text/7a/text,"[lspeed = 0.05] The dinner that the Dogfish had chosen was small and quaint, clean and lit by lowlights."
Text/7b/text,[lspeed = 0.05] It was a reflection of them from what you learned from your text exchange.
Text/7c/text,[lspeed = 0.05] However...
Text/7d/text,"[lspeed = 0.05] Despite their claims that this was a hangout, they show up with a bouquet in hand."
Text/7e/text,[lspeed = 0.05] I know we said it was meant to not be a date… especially because I asked- but...
Text/7f/text,[lspeed = 0.05] I thought I’d bring you these anyway!
Text/80/text,[lspeed = 0.05] I hope it’s alright… I grew them myself! Do you know flower language…?
Text/81/text,[lspeed = 0.05] Her voice was nervous and she had a distinct stutter. What a cute woman.
Text/82/text,"[lspeed = 0.05] The food at the diner was mediocre, but you complimented it enthusiastically with a smile."
Text/83/text,"[lspeed = 0.05] Thankfully Socorro came with an appetite from her job and didn’t seem to take notice she had eaten way more than her half, allowing you to get away with not partaking much."
Text/84/text,"[lspeed = 0.05] You spend a long time chatting, learning all about what plants grow best in what weather and how she had just started bee keeping."
Text/85/text,[lspeed = 0.05] I think they like me honestly!
Text/86/text,[lspeed = 0.05] I’ve read other bee keepers say they know their bees recognize them and I agree!
Text/87/text,[lspeed = 0.05] It feels like they greet me when I come into the garden.
Text/88/text,[lspeed = 0.05] You throw in a fact about bees mourning their keepers when they die.
Text/89/text,[lspeed = 0.05] Socorro’s shoulders fall a little bit and she replies that she hopes she’ll be safe for a long time to not make them sad then.
Text/8a/text,[lspeed = 0.05] You smile at that.
Text/8b/text,"[lspeed = 0.05] Once it was time to head out, both of you talking about your next meeting."
Text/8c/text,"[lspeed = 0.05] You trip and fall, wincing as you try to stand."
Text/8d/text,"[lspeed = 0.05] It was clear you couldn’t get home alone, and Socorro, not willing to let her new friend struggle, offered to drive your car."
Text/8e/text,[lspeed = 0.05] The ride was a lot of her checking on you and saying that she’d replace the flowers you fell on.
Text/8f/text,[lspeed = 0.05] When you reached the cabin she asked if she could carry you in and you agreed.
Text/90/text,"[lspeed = 0.05] She takes you through your front door and sets you on the couch, going through your freezer for ice after excusing herself."
Text/91/text,[lspeed = 0.05] It was late and she didn’t seem to be planning to leave.
Text/92/text,"[lspeed = 0.05] That presumption was proven correct when she told you that she didn’t feel comfortable leaving you like this, at least for tonight."
Text/93/text,"[lspeed = 0.05] Apologetically, she asked if you’d be alright with her staying."
Text/94/text,"[lspeed = 0.05] Of course, that would be so helpful, how could you say no? Thankfully you had a spare bedroom."
Text/95/text,"[lspeed = 0.05] It was a little awkward of course, having to move silently in your own home once she was asleep."
Text/96/text,[lspeed = 0.05] The recipe you planned took a lot of preparation and ingredients.
Text/97/text,"[lspeed = 0.05] Since it called for beans and a salsa, you had done that in advance. All you needed now was to cook and shred the shark."
Text/98/text,"[lspeed = 0.05] You open the door that you were keeping the shark in, making sure it was ready."
Text/99/text,[lspeed = 0.05] Soft snoring came from the room.
Text/9a/text,"[lspeed = 0.05] You knife sliced in and you mourned that the clean up would have you replacing furniture, it would be worth it however."
Text/9b/text,"[lspeed = 0.05] Once it was ready, you placed the fish, onion, garlic, epazote, and salt into a pan with water before covering it with a lid."
Text/9c/text,"[lspeed = 0.05] After it was ready and shredded, all it took was a few more steps before you could stack tortillas and fillings, dousing them with a generous amount of salsa."
Text/9d/text,"[lspeed = 0.05] Poor Socorro, sweet, innocent, helpful…. Her first relationship ending in her death?"
Text/9e/text,"[lspeed = 0.05] Talk about bad luck, but at least you got a delicious meal out of her, right?"
