key,en,es,fil,zh_CN
Text/7a/text,"[lspeed = 0.05] The dinner that the Dogfish had chosen was small and quaint, clean and lit by lowlights.","[lspeed = 0.05]El restaurante que el pez tiburon elegio era pequeño y pintoresco, estaba limpio y tenía una iluminación tenue.",,[lspeed = 0.05] 鲨鱼小姐选的那家餐馆不大，却干净雅致，灯光柔和。
Text/7b/text,[lspeed = 0.05] It was a reflection of them from what you learned from your text exchange.,[lspeed = 0.05]Reflejaba la imagen que te habías formado de ella a través de los mensajes que habían intercambiado.,,[lspeed = 0.05] 这家餐馆仿佛就是她的写照，与你在聊天中了解到的她如出一辙。
Text/7c/text,[lspeed = 0.05] However...,[lspeed = 0.05]Sin embargo...,,[lspeed = 0.05] 不过...
Text/7d/text,"[lspeed = 0.05] Despite her claims that this was a hangout, she showed up with a bouquet in hand.","[lspeed = 0.05]A pesar de haber dicho que era una junta entre amigas , llegaron con un ramo de flores en la mano.",,[lspeed = 0.05] 虽然她声称这只是一次普通的见面，但出现时，手里还是捧着一束花。
Text/7e/text,[lspeed = 0.05] I know we said it was meant to not be a date… especially because I asked- but...,[lspeed = 0.05]Sé que dijimos que esto no iba a ser una cita... sobre todo porque fui la que pregunto por eso...,,[lspeed = 0.05] 我知道我们已经说好不把这当成约会...而且还是我先提出来的，可是...
Text/7f/text,[lspeed = 0.05] I thought I’d bring you these anyway!,[lspeed = 0.05]¡Pero pensé en traerte esto de todos modos!,,[lspeed = 0.05] 我还是想把这束花送给你！
Text/80/text,[lspeed = 0.05] I hope it’s alright… I grew them myself! Do you know flower language…?,[lspeed = 0.05]Espero que no te importe... ¡las cultivé yo misma! ¿Conoces el lenguaje de las flores...?,,[lspeed = 0.05] 希望你不介意...这些花都是我自己种的！你了解花语吗...？
Text/81/text,[lspeed = 0.05] Her voice was nervous and she had a distinct stutter. What a cute woman.,[lspeed = 0.05]Su voz sonaba nerviosa y tartamudeaba de forma evidente. Qué mujer tan encantadora.,,[lspeed = 0.05] 她听起来很紧张，说话也结结巴巴的。真是可爱。
Text/82/text,"[lspeed = 0.05] The food at the diner was mediocre, but you complimented it enthusiastically with a smile.","[lspeed = 0.05]La comida del restaurante era mediocre, pero tú le distes cumplidos con entusiasmo y una sonrisa.",,[lspeed = 0.05] 餐馆的饭菜味道平平，但你还是面带笑容，热情地夸了几句。
Text/83/text,"[lspeed = 0.05] Thankfully Socorro came with an appetite from her job and didn’t seem to take notice she had eaten way more than her half, allowing you to get away with not partaking much.","[lspeed = 0.05]Por suerte, Socorro llegó con buen apetito tras el trabajo y no pareció darse cuenta de que había comido mucho más de lo que le correspondía, lo que te permitió no comer casi nada sin levantar sospechas.",,[lspeed = 0.05] 好在Socorro忙完工作后正饿得厉害，一不留神便吃掉了大半食物，因此没有发现你其实没吃多少。
Text/84/text,"[lspeed = 0.05] You spend a long time chatting, learning all about what plants grow best in what weather and how she had just started bee keeping.","[lspeed = 0.05]Pasas un buen rato conversando, aprediendo sobre qué plantas prosperan mejor según el clima y cómo ella acaba de iniciarse en la apicultura.",,[lspeed = 0.05] 你们聊了很久。你了解到各种植物最适合生长在怎样的天气里，也知道了她最近开始养蜂。
Text/85/text,[lspeed = 0.05] I think they like me honestly!,"[lspeed = 0.05]¡Sinceramente, creo que les caigo bien!",,[lspeed = 0.05] 我觉得它们应该很喜欢我！
Text/86/text,[lspeed = 0.05] I’ve read other bee keepers say they know their bees recognize them and I agree!,[lspeed = 0.05]He leido que otros apicultoras dicen que sus abejas las reconocen y estoy de acuerdo!,,[lspeed = 0.05] 我看过其他养蜂人分享，说他们的蜜蜂能认出他们，我觉得确实是这样！
Text/87/text,[lspeed = 0.05] It feels like they greet me when I come into the garden.,[lspeed = 0.05]Siento como que me saludan cuando entro al jardin.,,[lspeed = 0.05] 每次我走进花园，都感觉它们在迎接我。
Text/88/text,[lspeed = 0.05] You throw in a fact about bees mourning their keepers when they die.,[lspeed = 0.05]Le cuentas como las abejas lloran cuando sus apicultores mueren.,,[lspeed = 0.05] 你冷不丁补充道，养蜂人死后，蜜蜂会为他们哀悼。
Text/89/text,[lspeed = 0.05] Socorro’s shoulders fall a little bit and she replies that she hopes she’ll be safe for a long time to not make them sad then.,[lspeed = 0.05]Los hombros de Socorron se le caen al oir eso y responde que espera que se mantenga a salvo por mucho tiempo para no hacerlas triste entonces.,,[lspeed = 0.05] Socorro听后微微垂下了肩膀，说自己希望能平安活上很久，这样蜜蜂就不会难过了。
Text/8a/text,[lspeed = 0.05] You smile at that.,[lspeed = 0.05]Tu sonries al escuchar eso.,,[lspeed = 0.05] 你闻言露出了微笑。
Text/8b/text,"[lspeed = 0.05] Once it was time to head out, both of you talking about your next meeting.","[lspeed = 0.05]Cuando era hora de salir, las dos hablaban de su proxima junta.",,[lspeed = 0.05] 等到准备离开时，你们已经在计划下一次见面了。
Text/8c/text,"[lspeed = 0.05] You trip and fall, wincing as you try to stand.","[lspeed = 0.05]Te tropiezas y cais, haziendo una mueca de dolor cuando tratas de levantarte.",,[lspeed = 0.05] 你脚下一绊，摔倒在地。想站起来时，疼得皱起了眉。
