key,en,es,fil,zh_CN
Text/237/text,Hello. I am Socorro. I saw your pictures and think your gloves are very nice.,Hola. Soy Socorro. Vi tus fotos y creo que tus guantes son muy bonitos.,,
Text/238/text,May I ask where you got those green onions?,¿Podría preguntar dónde conseguiste esas cebolletas?,,
Choice/239/text,Thank you beautiful,Gracias hermosa,,
Choice/239/disabled_text,,,,
Text/23a/text,"Wow, thanks! I think your eyes are beautiful!","¡Guau, gracias! ¡Creo que tienes unos ojos preciosos!",,
Text/23b/text,"Oh, thank you... That is very kind of you. You did not answer about your green onions, does that mean do you not want to answer? If so, that is alright!","Oh, gracias... Es muy amable de tu parte. No respondiste sobre tus cebolletas; ¿eso significa que no quieres responder? Si es así, ¡no pasa nada!",,
Choice/23c/text,"The store, why?","La tienda, ¿Porque?",,
Choice/23c/disabled_text,,,,
Text/23d/text,"Oh, sorry! I got them from the grocery store near me. Why? Did you want to go shopping with me?","¡Ah, perdon! Los compré en el supermercado que tengo cerca. ¿Por qué? ¿Querías ir de compras conmigo?",,
Text/23e/text,"No. I apologize, I am sure you are great to shop with, that is just not what I meant. Are you normally this forward?","No. Te pido disculpas, estoy segura de que es un placer ir de compras contigo, pero no era eso a lo que me refería.",,
Choice/23f/text,No time to waste.,No hay tiempo que perder.,,
Choice/23f/disabled_text,,,,
Text/240/text,"I think there is no time to waste, I fell in love with your eyes and would like to get to know you.","Creo que no hay tiempo que perder, me enamoré de tus ojos y me gustaría conocerte.",,
Text/241/text,"I am sorry, you are obviously looking for someone who is more ready to move to the next step than me. I don't think we fit each other. I will unmatch with you now.","Lo siento, pero es evidente que buscas a alguien más preparada que yo para dar el siguiente paso. No creo que encajemos. Voy a quebrar la conexión ahora.",,
Choice/242/text,"Sorry, but...",Perdon pero...,,
Choice/242/disabled_text,,,,
Text/243/text,"Sorry if I came on too strong, but this app is for dating right?","Perdon si me he mostrado demasiada lanzada, pero esta aplicación es para encontrar una cita, ¿O, no?",,
Text/244/text,I suppose you are right but everyone will have different speeds they are comfortable with no? I think you and I aren't compatible. I will unmatch with you now.,"Supongo que tienes razón, pero cada persona se siente cómoda con ritmos diferentes, ¿no? Creo que tú y yo no somos compatibles. Voy a quebrar la conexión ahora.",,
Choice/245/text,"Not usually, but...","Regularmente no, pero...",,
Choice/245/disabled_text,,,,
Text/246/text,"Not usually, I typically prefer slower romance. But I really want to go on a date today.","No normalmente, you prefiero  romance lento. Pero quiero salir con alguien hoy. ",,
Text/247/text,"I understand but I do not think I am the right person for you if that's what you're looking for! Sorry, I will unmatch you now.","Lo entiendo, pero no creo que soy la persona correcta para ti si eso es lo que buscas. Lo siento, voy a quebrar la conexión ahora.",,
Choice/248/text,"No, more effort","No, es mas esfuerzo",,
Choice/248/disabled_text,,,,
Text/249/text,"They're just green onions, I didn't realize it was super important, my bad.","Son solo cebolletas, no me di cuenta de que fuera tan importantes, fue mi error.",,
Text/24a/text,"That is true! However, I personally feel that the source of your ingredients matters a lot. I promise if you try, you might fall in love.","¡Eso es cierto! Sin embargo, personalmente creo que el origen de los ingredientes es muy importante. Te prometo que, si lo pruebas, podrías enamorarte.",,
Choice/24b/text,"No thanks, shill","No, gracias, promotora",,
Choice/24b/disabled_text,,,,
Text/24c/text,"I think I am good, even though I am sure your produce is great. Are you trying to sell on the app? Or is that your only interest?","Creo que estoy bien asi, aunque estoy segura de que tus productos son excelentes. ¿Estás intentando vender a través de la aplicación? ¿O es ese tu único interés?",,
Text/24d/text,"I apologize, I clearly did not pick the right topic... And you seem quite unkind. I do not think I want to continue this conversation however, so I will unmatch you now.","Te pido disculpas, claramente elegi el tema adecuado... y pareces bastante desagradable. Sin embargo, no creo que quiera continuar con esta conversacion, asi que voy a quebrar la conexion ahora.",,
Choice/24e/text,Maybe sometime,Al a mejor,,
Choice/24e/disabled_text,,,,
Text/24f/text,I don't really think it matters much? I have never met someone who cares so much before,¿No creo que importa tanto? Nunca he concido a alguien que le importe tanto,,
Text/250/text,"It is my life's work, I apologize for being strange... I do not want to continue. I will unmatch you now.","Es a lo que dedique mi vida, perdon por ser rara... No quiero continuar. Voy a quebrar la conexion ahora.",,
Choice/251/text,Persuaded too easily,Facil de comvencer,,
Choice/251/disabled_text,,,,
Text/252/text,"Hm, maybe you have a point? But I can't tell if that is because I am easy to persuade and not because it actually matters... Maybe I will try... Or not","¿Hm, al a mejor tienes un punto? Pero no se si es porque soy facil de onvencer o si porque de verdad importe... Al a mejor lo probare... O no",,
Text/253/text,I am glad you are willing to give them a try but I think the way we see things is too different. I will unmatch now.,Me alogra que estas dispuesta a tratar cosas nuevas pero creo que la forma que miramos las cosas es demaciado diferente. Voy a quebrar la conexion ahora.,,
Choice/254/text,Oh sorry!,¡Ay perdon!,,
Choice/254/disabled_text,,,,
Text/255/text,"Oh, sorry. That must've seen impolite... I was just distracted. I got farmers’ market, I prefer it over the fluorescence of the grocery store.","Ay, perdon. Eso se debio ver sin modales... Estaba distraida. Los agarre en el mercado de granjeros, la prefiero sobre las luces luminosas de la tienda.",,
Text/256/text,Oh! I do too! What a happy coincidence huh? What do you usually shop for?,¡Ah! ¡Yo tambien! ¿Que gran coincidencia verdad? ¿Qué pasas a comprar normalmente?,,
Choice/257/text,I go to haggle,Voy a regatear,,
Choice/257/disabled_text,,,,
Text/258/text,Whatever I need at the moment. I like that you can haggle with the vendors unlike the grocery store,"Lo que necesite al momento. Me gusta que puedes regatear con los vendedores, no como en la tienda",,
Text/259/text,"Oh! You know, local farmers can not really compete with chain grocery stores. Haggling them is not the best practice... I do not think we could even be friends. I will unmatch with you now.","¡Ah! Sabes, granjeros locales de verdad no pueden competir con tiendas haci. Regatear lo hace peor... No creo que podamos ni ser amigas. Voy a quebrar la conexion ahora.",,
Choice/25a/text,Anything but produce,Todo menos verduras,,
Choice/25a/disabled_text,,,,
Text/25b/text,Things like bread or other cooked goods. I don't like buying dirty vegetables... I have to wash them,Cosas como pan o otra cosas que estan cocidas. No me gusta compra verdura sucia... La tengo que lavar,,
Text/25c/text,"You understand that grocery vegetables are also dirty... You should be washing them too- Ah, I do not think we are compatible. I will unmatch with you now.","Si entiendes que la verdura de la tienda tambien esta sucia... La deberias estar lavando tambien- Ah, no creo que seamos compatibles. Voy a quebrar la conexion ahora.",,
Choice/25d/text,Anything yummy,Lo que sea rico,,
Choice/25d/disabled_text,,,,
Text/25e/text,"I don’t usually go with a set list or plan, just whatever looks yummy... I think wandering is part of the appeal",Normalmente no voy con lista o plan... Creo que pasear es parte de la atracion,,
Text/25f/text,"I know what you mean, the scents and colors are so pretty. Since we can not go tonight, how about we hang out at a diner? On me, of course.","Se de que te refieres, los olores y colors son tan bonitos. Como no podemos ir hoy, ¿que tal que nos vemos en el diner? Invito yo, por supuesto.",,
Choice/260/text,Where everyone else does,Donde todo los demas,,
Choice/260/disabled_text,,,,
Text/261/text,"The store, isn't that where everyone shops?","La tienda, ¿no es ahi donde todos van de compras?",,
Text/262/text,"Well, not everyone! I personally sell my veggies at the farmers’ market. Have you ever been?","¡Pues, no todos! Personalmente vendo mis vegetales en el mercado de granjeros. ¿Has ido?",,
Choice/263/text,Overpriced honestly,Es muy caro,,
Choice/263/disabled_text,,,,
Text/264/text,Yea but it's overpriced. Do you give freebies to your dates? I could take you out for some free produce.,Si pero es demaciado caro. ¿Le regalas muestras a tus citas? Yo te podria sacar por productos gratis.,,
Text/265/text,"If I gift someone something, it is usually flowers... Are you saying you only want to get free stuff?","Si le regalo algo a alguien, normalmente son floros... ¿Estas diciendo que solo quieres las muestras?",,
Choice/266/text,Market focused,Enfocada en mercado,,
Choice/266/disabled_text,,,,
Text/267/text,"Well, we really haven't talked about anything else and you seem cute but at this point it feels like I know more about the market than you","Pues, de verdad no hemos hablado de nada mas y me pareces linda pero ahorita se siente como que conosco el mercado mas que a ti",,
Text/268/text,"I am sorry, you clearly feel like this conversation was a waste of time and I am starting to feel the same. I will unmatch with you now.","Mis disculpas, claramente sientes que esta conversacion es una perdida de tiempo y estoy empazando a sentir lo mismo. Voy a quebrar la conexion ahora.",,
Choice/269/text,As a bonus,Como extra,,
Choice/269/disabled_text,,,,
Text/26a/text,Maybe not 'only' but wouldn't you consider it a bonus if I offered something high quality for free?,"Al amejor no ‘solo’ pero, ¿no lo consideradias ganancia si yo te ofreciera halgo de alta calida gratis?",,
Text/26b/text,"The only high quality thing I am after is good company, but I do not think you can provide that. I will unmatch you now.","La unica cosas de alta calidad que yo busco es compañia, pero no creo que tu puedas proveir eso. Voy a quebrar la conexion ahora.",,
Choice/26c/text,"Sorry, got excited","Perdon, me emocione...",,
Choice/26c/disabled_text,,,,
Text/26d/text,"Sorry if that offended you, I was enthused by the idea of free produce and came off rudely.","Perdon si eso te offendio, me emocione por la idea y sone sin modales.",,
Text/26e/text,Thank you for apologizing but you have mostly come off as rude. I think it would be best if I unmatch with you now.,Gracias por disculparte pero no has echo nada excepto sonar mal educado. Creo que seria lo mejor si quebro la conexion ahora..,,
Choice/26f/text,No plans to,No y no lo hare,,
Choice/26f/disabled_text,,,,
Text/270/text,"No, it's too early in the morning, I don’t like that... and I don't like sweat honestly.","No, es muy temprano en la mañana, no me gusta eso... y no me gusta el sudar honestamente",,
Text/271/text,"Ah, not an early riser? Not everyone is. I personally love being awake early! When you say you don't like sweat however, do you mean yourself or others?","¡Ah, ¿no eres madrugadora? No todos los son. Yo personalmente amo estar despierta el la mañana! Cuand disces que no te gusta el sudor, ¿te refieres de ti o los demas?",,
Choice/272/text,Anyone,En nadien,,
Choice/272/disabled_text,,,,
Text/273/text,"Anyone! I don't want to be around people who stink, it's gross!","¡En andien! ¡No quero estar cerca de personas que apestan, es asqueroso !",,
Text/274/text,Some of have jobs that cause a lot of sweat... that doesn't make them gross... I do not think this will go anywhere... I will unmatch with you now.,Algunos tenien trabajos que causan sudor... eso nos los hace asquerosos... No creo que esto vaya a ninguna parte... Voy a quebrar la conexion ahora.,,
Choice/275/text,Both,Ambos,,
Choice/275/disabled_text,,,,
Text/276/text,"Both, the idea of my partner being sweaty is unappealing, even if they shower I will smell them first...","Both, the idea of my partner being sweaty is unappealing, even if they shower I will smell them first...",,
Text/277/text,I think our lifestyles will make us incompatible... I will unmatch with you now.,Creo que nuestos estilos de vida nos haran incompatibles.... Voy a quebrar la conexion contigo ahora.,,
Choice/278/text,I avoid it,Lo evito,,
Choice/278/disabled_text,,,,
Text/279/text,I avoid sweating and I don't think people who are sweaty are gross but...,"Evito sudar y no me parece que la gente sudorosa dé asco, pero…",,
Text/27a/text,You'd rather avoid them? I understand but I don't think we will mesh well. My job requires it. I will unmatch with you now.,"¿Prefieres evitarlos? Lo entiendo, pero no creo que encajemos bien. Mi trabajo lo requiere. Voy a quebrar la conexión ahora.",,
Choice/27b/text,"Oh, yes","Oh, si",,
Choice/27b/disabled_text,,,,
Text/27c/text,"Yes, a few times. I guess you're right then, it just didn't come to mind.","Sí, unas cuantas veces. Supongo que tienes razón, simplemente no se me ocurrió.",,
Text/27d/text,"That is alright, it is not the first thought everyone has. It is probably mine because I am a vendor, haha🤣. What do you normally buy when you stop by?","No pasa nada, no es lo primero que se le ocurre a todo el mundo. Probablemente sea mi caso porque soy vendedora, jaja . ¿Qué comprars cuando pasas por ahí?",,
Choice/27e/text,What I need,"Obviamente, lo que necesito",,
Choice/27e/disabled_text,,,,
Text/27f/text,What I need to buy? What kind of question is that? Do you not have another topic?,¿Lo qué necesito comprar? ¿Qué clase de pregunta es esa? ¿No tienes otro tema?,,
Text/280/text,"I apologize, but you do not have to be so hostile. I do not think this conversation will go anywhere. I will unmatch with you now.","Te pido disculpas, pero no tienes por qué ser agresiva. No creo que esta conversación va a llegar a ninguna parte. Voy a quebrar la conexión ahora.",,
Choice/281/text,I have a vendor,Tengo un vendedor,,
Choice/281/disabled_text,,,,
Text/282/text,"The usual things, produce mostly. I already have a vendor though for when it's not the grocery store... So I'm alright","Lo de siempre, sobre todo frutas y verduras. Aunque ya tengo un vendedor para cuando no voy al supermercado... Así que estoy bien.",,
Text/283/text,"I must have come off like a sales pitch... Maybe I am not ready for this, I apologize. I will unmatch with you now.",Debo haber sonado como si estuviera intentando venderte algo... Quizás no estoy lista para esto; te pido disculpas. Voy a quebrar la conexión ahora.,,
Choice/284/text,Lots of things!,¡Muchas cosas!,,
Choice/284/disabled_text,,,,
Text/285/text,"Vegetables and fruits, I sometimes look at the flowers but I don't usually buy... maybe I will buy some next time","Verduras y frutas, a veces miro las flores, pero no compro normalmente... tal vez compre algunas a la próxima.",,
Text/286/text,"I would love to talk to you about flowers if you would be willing to discuss over some food at the diner? A flower hang out! On me, of course.","Me encantaría hablar contigo sobre flores, si te gustaria platicar mientras comemos also en el diner. ¡Una salida dedicada a las flores! Invito yo, por supuesto.",,
Choice/287/text,Farmers’ market,Mercado de granjeros,,
Choice/287/disabled_text,,,,
Text/288/text,"Oh, at the farmers’ market... I prefer fresh ingredients. The grocery store is also too bright for me.","Ah, en el mercado de granjeros... Prefiero los ingredientes frescos. El super mercado siempro esta demaciado luminoso para mi.",,
Text/289/text,"Oh, wonderful! Not that there is anything wrong with the grocery store but I love the farmers’ market. I vend there actually... Maybe you could stop by my stall if you ever need fresh veggies or fruit!","¡Ah, maravilloso! ¡No que haiga algo malo con el super mercado pero you amo el mercado de granjeros. De hecho yo vendo ahi... Tal vez podrias pasar por mi puesto cuando necesites verdura o fruta!",,
Choice/28a/text,At your job?,¿En tu trabajo?,,
Choice/28a/disabled_text,,,,
Text/28b/text,"If I meet with you, I rather it not be at our job. Don't you have somewhere more interesting we could go?","Si te voy a conocer, prefiero que sea en el trabajo. ¿No trendras algun sitio mas interesante a donde podamos ir?",,
Text/28c/text,"Sorry if that wasn't the right suggestion, but I thought you could learn about my job while we got to know each other... What do you find interesting to do?","Perdon si es no fue la mejor sugerencia, pero pense que prodrias aprender de mi trabajo mientras nos conocemos... ¿Que te gusta hacer?",,
Choice/28d/text,Figure it out,Busca que,,
Choice/28d/disabled_text,,,,
Text/28e/text,"I don't know but I'm tired of dinner and a movie, can you get creative please? Surely you can figure something out, right?","No se pero estoy cansada de cena y peliculas, ¿prodrias ser creativa por favor? Seguro se te ocurre algo, ¿verdad?",,
Text/28f/text,I do not think I want to get creative enough for you... It will be best if we did not continue this conversation it seems. I will unmatch with you now.,No creo poder ser suficientemente creativa para ti... Parece que lo mejor sera no continuar con esta conversacion. Voy a quebrar la conexión contigo ahora.,,
Choice/290/text,Indoor events,Eventos interiores,,
Choice/290/disabled_text,,,,
Text/291/text,"I prefer indoor events, away from the sun. It’s cooler indoors. I especially like watching sports. Most normal people have at least one sport they're into I think","Prefiero eventos interiores, lejos del sol. Esta mas fresco adentro. Especialmente me gusta ver deportes. Creo que la mayoria de la gente normal sige al menos un deporte",,
