keys,en
Text/59/text,[lspeed = 0.05] Unlike the tall handsome Lionfish you expected...
Text/5a/text,[lspeed = 0.05] The real Khanh turned out to be… A Catfish!
Text/5b/text,"[lspeed = 0.05] It’s a good thing you are a kind and understanding soul, isn’t it?"
Text/5c/text,[lspeed = 0.05] He seemed nervous until you reassured him that you didn’t mind and would like to get to know him anyway.
Text/5d/text,[lspeed = 0.05] You spend hours browsing the shelves of the shop and listening to him talk about his interest.
Text/5e/text,[lspeed = 0.05] And that’s why I think Fishman is so impactful regardless of who you are!
Text/5f/text,"[lspeed = 0.05] The drive to take abilities that make you inherently dangerous and use them to defend everyone, stepping out of the role you’ve been assigned by others and deciding who you want to be for the world."
Text/60/text,[lspeed = 0.05] His eyes glimmer and his voice softens momentarily as he says the last bit of the monologue with a sheepish tone.
Text/61/text,[lspeed = 0.05] I want to be the kind of Aquakin that can do that some day…
Text/62/text,[lspeed = 0.05] Thankfully he was so wrapped up in the excitement he didn’t realize how much you didn’t know… and how much you seemed to be zoning out and running your eyes over the scales of his head instead of digesting anything he said.
Text/63/text,[lspeed = 0.05] He wasn’t exactly rushing to go home with you at the end of the night…
Text/64/text,[lspeed = 0.05] Until you mentioned on the way out that you had a copy of a limited edition Fishman exclusive that you had been looking to sell but needed to get appraised.
Text/65/text,[lspeed = 0.05] The little you had heard of his chatter had come in handy here.
Text/66/text,"[lspeed = 0.05] The silver Catfish excitedly declared he could help, and that if the copy was high enough quality he could buy it."
Text/67/text,"[lspeed = 0.05] You softly smile and make an off hand comment about how maybe you should gift to him instead, to celebrate your first meeting."
Text/68/text,"[lspeed = 0.05] Wow, really?!"
Text/69/text,"[lspeed = 0.05] Well, if you’re really okay with me going over for it today, I’d be stoked!"
Text/6a/text,[lspeed = 0.05] I have wanted this thing for so long.
Text/6b/text,"[lspeed = 0.05] You’re the best date I’ve had ever, although you’re probably the only one."
Text/6c/text,"[lspeed = 0.05] He complimented your cabin, seemingly undisturbed by the lack of decoration other than wall to wall aquariums."
Text/6d/text,"[lspeed = 0.05] Like the great host you are, you offer him a drink."
Text/6e/text,"Oh, yes please!"
Text/6f/text,[lspeed = 0.05] Maybe you aren’t actually a good host since you don’t have much else.
Text/70/text,"[lspeed = 0.05] Clearly it doesn’t put him off however, he downs the water as if all the talking had left him desperate for a gulp."
Text/71/text,"[lspeed = 0.05] After he is done, you lead him towards your bedroom. You have him sit on your bed as you go to your closet to look for the comic that isn’t there."
Text/72/text,[lspeed = 0.05] When you turn around he’s out like a light- must’ve been tired.
Text/73/text,"[lspeed = 0.05] You head to the kitchen, preparing the ingredients you need."
Text/74/text,"[lspeed = 0.05] Fish sauce, sugar, vegetable oil, a shallot, garlic, coconut soda, green onion and black pepper."
Text/75/text,"[lspeed = 0.05] Your stomach was growling already. You must prepare the fish first so you turn to the one you brought home with you, knife hand."
Text/76/text,[lspeed = 0.05] Cutting into the flesh wasn’t very hard thankfully.
Text/77/text,"[lspeed = 0.05] Once the fish was marinating, you prepare the rest of the things you need in the claypot you purchased once long ago for this sort of occasion."
Text/78/text,"[lspeed = 0.05] Poor Khan, kind and hopeful Khan."
Text/79/text,"[lspeed = 0.05] The Catfish who just needed time to learn to love himself, robbed of it… But at least you got a delicious dinner out of them, right?"
