key,en,es,fil,zh_CN
Text/59/text,[lspeed = 0.05] Unlike the tall handsome Lionfish you expected...,[lspeed = 0.05] A diferencia de lo que esperabas...,,[lspeed = 0.05] 你原本以为自己会见到一条高大英俊的狮子鱼...
Text/5a/text,[lspeed = 0.05] The real Khanh turned out to be… A Catfish!,"[lspeed = 0.05] No te encontraste con un pez leon, la verdad era que el perfil de Khanh… era falso!",,[lspeed = 0.05] 然而，Khanh的真身竟然是...一条鲶鱼！
Text/5b/text,"[lspeed = 0.05] It’s a good thing you are a kind and understanding soul, isn’t it?","[lspeed = 0.05] Es buena cosa que eres una alma buena y comprensiva, ¿o no?",,[lspeed = 0.05] 幸好你是个温柔又善解人意的人，对吧？
Text/5c/text,[lspeed = 0.05] He seemed nervous until you reassured him that you didn’t mind and would like to get to know him anyway.,[lspeed = 0.05] Parecia esta nervioso hasta que le aserguraste que no te molesta y lo quieres conocer como quiera.,,[lspeed = 0.05] 起初他似乎非常紧张。你告诉他自己并不介意，而且依然想了解他之后，他才慢慢放松下来。
Text/5d/text,[lspeed = 0.05] You spend hours browsing the shelves of the shop and listening to him talk about his interest.,[lspeed = 0.05] Pasan las horas curioseando los estantes de la tienda y escuchandolo hablar de sus intereses.,,[lspeed = 0.05] 你们在店里的书架之间逛了好几个小时，听他兴致勃勃地聊着自己的爱好。
Text/5e/text,[lspeed = 0.05] And that’s why I think Fishman is so impactful regardless of who you are!,[lspeed = 0.05] Y por eso es que pienso que El Hombre Pez es tan impactante sin importar quien eres!,,[lspeed = 0.05] 所以我才觉得，不管你是什么样的人，《鱼侠》都能打动你！
Text/5f/text,"[lspeed = 0.05] The drive to take abilities that make you inherently dangerous and use them to defend everyone, stepping out of the role you’ve been assigned by others and deciding who you want to be for the world.","[lspeed = 0.05] El impulso para tomar abilidades que te hace inherentemente peligroso y usar las para defender a todos, saliendo del papel que ten han asignado los demas y decidiendo quien quieres ser para el mundo.",,[lspeed = 0.05] 即使生来就拥有足以伤害别人的能力，也能选择用它守护众人；挣脱外界赋予你的身份，自己决定究竟想成为谁。
Text/60/text,[lspeed = 0.05] His eyes glimmer and his voice softens momentarily as he says the last bit of the monologue with a sheepish tone.,[lspeed = 0.05] Sus ojos brillan y su vos baja en volumen un momento mientras termina su monólogo con tono timido.,,[lspeed = 0.05] 在说出最后那几句话时，他眼里闪烁着微光，声音也随之放轻，显得有些腼腆。
Text/61/text,[lspeed = 0.05] I want to be the kind of Aquakin that can do that some day…,[lspeed = 0.05] Quiero ser ese tipo de Aquakin algun dia…,,[lspeed = 0.05] 我也希望自己有一天能成为那样的水族人...
Text/62/text,[lspeed = 0.05] Thankfully he was so wrapped up in the excitement he didn’t realize how much you didn’t know… and how much you seemed to be zoning out and running your eyes over the scales of his head instead of digesting anything he said.,"[lspeed = 0.05] Por suerte estaba tan envuelto en su entusiasmo que no se dio cuenta cuanto no sabias… y que que mientras tus ojos corrian sobre las escamas de su cara, tu mente estaba en las nuves enves de digerir lo que te estaba diciendo.",,[lspeed = 0.05] 幸好他正说得兴奋，丝毫没有察觉你其实没听懂多少...也没注意到你早就神游天外，正心不在焉地打量着他头上的鳞片，完全没把他说的话听进去。
Text/63/text,[lspeed = 0.05] He wasn’t exactly rushing to go home with you at the end of the night…,[lspeed = 0.05] No estaba exactamente emocionado para regresar a tu casa al final de la noche…,,[lspeed = 0.05] 临分别时，他原本没打算跟你回家...
Text/64/text,[lspeed = 0.05] Until you mentioned on the way out that you had a copy of a limited edition Fishman exclusive that you had been looking to sell but needed to get appraised.,[lspeed = 0.05] Hasta que mencionaste que tienes una exclusiva de edicion limitada de El Hombre Pez que estabas buscando vender pero que necesitaba avaluacion.,,[lspeed = 0.05] 直到出门前，你装作不经意地提起，自己有一本《鱼侠》的独家限量特刊想出手，只是还没找人鉴定。
Text/65/text,[lspeed = 0.05] The little you had heard of his chatter had come in handy here.,[lspeed = 0.05] Lo poque de su platica que habias odio te ayudo.,,[lspeed = 0.05] 你刚才从他的滔滔不绝中听进去的只言片语，此刻正好派上了用场。
Text/66/text,"[lspeed = 0.05] The silver Catfish excitedly declared he could help, and that if the copy was high enough quality he could buy it.","[lspeed = 0.05] El pez gato gris declaro con entusiasmo que podio ayudar, y que si la copia era de calidad suficientemente alta el la podia compra.",,[lspeed = 0.05] 立刻兴奋地表示自己可以帮你估价，如果保存状况足够好，他甚至可以把它买下来。
Text/67/text,"[lspeed = 0.05] You softly smile and make an off hand comment about how maybe you should gift it to him instead, to celebrate your first meeting.",[lspeed = 0.05] Tu sonries y dices ligeramente que lo al a mejor se la deberias dar para celebrar tu primera vez conociendose.,,[lspeed = 0.05] 你柔和地笑了笑，随意说道，也许应该把它送给他，算是初次见面的礼物。
Text/68/text,"[lspeed = 0.05] Wow, really?!","[lspeed = 0.05] Wow, ¿de verdad?!",,[lspeed = 0.05] 哇，真的可以吗？！
Text/69/text,"[lspeed = 0.05] Well, if you’re really okay with me going over for it today, I’d be stoked!","[lspeed = 0.05] Bueno, si de verdad te sientes comoda con que vaya por ella hoy. Estare mas de feliz!",,[lspeed = 0.05] 那、只要你不介意我今天跟你回去拿，我当然求之不得！
Text/6a/text,[lspeed = 0.05] I have wanted this thing for so long.,[lspeed = 0.05] La he querido tanto tiempo.,,[lspeed = 0.05] 我想要这个很久了。
Text/6b/text,"[lspeed = 0.05] You’re the best date I’ve had ever, although you’re probably the only one.","[lspeed = 0.05] Eres la mejor cita que he tenido, aunque eres la unica.",,[lspeed = 0.05] 你是我遇到过最棒的约会对象。虽然大概也是唯一一个。
