key,en,es,fil,zh_CN
Text/3d/text,[lspeed = 0.05]You and Ada head out to the hottest club in town!,[lspeed = 0.05]Tu y Ada salen al club mas de moda de la ciudad!,,[lspeed = 0.05]你和Ada一起去了镇上最火的夜店！
Text/3e/text,[lspeed = 0.05]They're fun and prettier than in their photos. Not a single lie about them being the life of the party was told.,[lspeed = 0.05]Elles son divertide y mas radiante que sus fotos.,,[lspeed = 0.05]ta很有趣，本人也比照片上更好看。看来“派对灵魂人物”这个称号确实名副其实。
Text/3f/text,[lspeed = 0.05]Wooo!,[lspeed = 0.05]Wuuu!,,[lspeed = 0.05]哇哦！
Text/40/text,[lspeed = 0.05]I love this song!,[lspeed = 0.05]Amo esta cancion!,,[lspeed = 0.05]我超喜欢这首歌！
Text/41/text,[lspeed = 0.05]Let's dance until we drop!,[lspeed = 0.05]Vamos a bailar asta caer!,,[lspeed = 0.05]我们跳到腿软为止吧！
Text/42/text,[lspeed = 0.05]You better keep up okay? I want to party all night!,[lspeed = 0.05]Mas te vale no te quedes atras! Quiero festiar toda la noche!,,[lspeed = 0.05]你可得跟上我的节奏哦！我今晚要嗨上一整夜！
Text/43/text,[lspeed = 0.05]The energy they carry is electric.,[lspeed = 0.05]La energia que elle carge es electrice.,,[lspeed = 0.05]ta浑身都洋溢着一种令人触电般的活力。
Text/44/text,"[lspeed = 0.05]While the sparkle of their dress and the body glitter isn’t the only thing that keeps your eyes on them all night, they certainly do help.","[lspeed = 0.05]Mientras el brillo de su vestido y la brillantina de cuerpo no son lo unico que mantiene tu mirar fija en elles durante toda la noche, sin duda ayudan.",,[lspeed = 0.05]让你整晚移不开眼的，当然不只是ta那条闪闪发亮的裙子和涂在身上的闪粉。不过，它们确实很加分。
Text/45/text,[lspeed = 0.05]They clearly feel the spark since they dance close to you all night.,[lspeed = 0.05]Claramente si sienten una chispa porque bailen cerca de ti toda la noche.,,[lspeed = 0.05]ta显然也感受到了你们之间的火花，整晚跳舞时都紧贴着你。
Text/46/text,"[lspeed = 0.05]You both dance, you twirl them, their dress catching the light.","[lspeed = 0.05]Lo dos bailan, tu le gires, su vestido reflejando la luz.",,[lspeed = 0.05]你们一同起舞。你带着ta轻盈旋转，ta的裙摆在灯光下闪烁起来。
