key,en,es,fil,zh_CN
Text/9f/text,Hiya!😘 Just got off work!,¡Holi holi!😘 ¡Acabo de salir del trabajo!,Haii heelloooo! 😘 Kakatapos ko lang ng work,嗨呀！😘我刚下班！
Text/a0/text,Sorry to keep you waiting~,Perdon por la espera~,So sorry if naghintay ka pa sa akin~,不好意思，让你等久啦～
Text/a1/text,Being a shop owner is just soooo busy. Would totes make me dizzy😵‍💫,Ser dueña de una tienda me mantiene taaan ocupada. Casi suficiente para mariar😵‍💫,Being a shop owner is just soooo busy. Nakakahilo talaga 😵‍💫,开店真的超忙，换作一般人肯定早就晕头转向了😵‍💫
Text/a2/text,Well,Bueno,Well,嗯
Text/a3/text,"WOULD, if I wasn't such a natural at it~","SERIA, si no me viniera tan naturalmente~",Nakakahilo lang kung di ka natural like me~,当然，我可不是一般人～
Text/a4/text,Hopefully I'm not disturbing your work hours!,¡Ojalá no te este molestando en el trabajo!,Sana di kita nadisturb sa work hours mo!,希望我没打扰你工作！
Text/a5/text,Speaking of...,Hablando de eso...,Speaking of...,说到这个...
Text/a6/text,What do you do for work?,¿En que trabajas?,Ano trabaho mo?,你是做什么工作的？
Choice/a7/text,A chef,Un chef,Isang chef,厨师
Choice/a7/disabled_text,,,,
Text/a8/text,"I'm the owner and chef at our town's fanciest restaurant, I make good money and it makes me an excellent cook.",Soy dueño y chef del restaurante mas lujurioso de nuestra ciudad. Hago buen dinero y me hace un concinero excelente. Me encantaria cocinarte halgo.,"Chef ako sa restaurant, 'yung pinakasosyal. Panigurado alam mo na kung alin 'yan. Nahasa 'yung pagluluto ko dito. Malaki din sahod.",我是镇上最高档餐厅的老板兼主厨，收入相当不错，厨艺自然也没得说。
Text/a9/text,I'd love to make you something.,Me encantaria cocinarte halgo.,"Kung gusto mo, pwede kita hainan.",有机会真想让你尝尝我的手艺。
Text/aa/text,"Wow, wow, wow!","¡Wow, wow, wow!","Wow, wow, wow!",哇、哇、哇！
Text/ab/text,I looove that!,¡Eso me encanta!,I looove that!,这也太对我胃口了！
Text/ac/text,And I love that place! 🥰🥰,¡Y me encanta ese lugar! 🥰🥰,I love eating pa naman don! 🥰🥰,我超爱那家店！🥰🥰
Text/ad/text,Two business owners?! We could like totally be the faces of this town!,"Seriamos dos dueños de negocio, podiamos ganar popularidad",Dalawang business owners?! Kayang kayang natin maging faces of this town!,两个老板？！我们完全可以成为镇上的招牌人物！
Text/ae/text,The food in your picture DOES look yummy.,La comida en tus fotos si se mira DELICIOSA.,Mukhang bet ko nga yung luto mo...,你照片里的食物确实看起来很美味。
Text/af/text,"Speaking of which, why can't I see your face?","¿Hablando de eso, no tienes fotos donde pueda ver tu cara?",Pero why just food 'yung profile pic mo? Why not your face?,话说，你怎么一张露脸的照片都没有？
Choice/b0/text,Not flattering,No me halagan,Deins maganda tignan,不上镜
Choice/b0/disabled_text,,,,
Text/b1/text,All my pictures are of me at the club so they're not exactly flattering,"Todas mis fotos so de me en el antro, no salen halagador",Lagi akong nasa bar pag kinukuhanan eh. Hindi masyado magandang tignan.,我的照片基本都是玩夜店时拍的，不太适合放上来。
Text/b2/text,But I love to socialize in my free time.,Pero me encanta salir a socializar cuando tengo tiempo,Pero mahilig ako makihalubilo sa free time ko.,不过我有空的时候很喜欢参加社交活动。
Text/b3/text,"I need to go out and take better pictures, wanna come with?",Tengo que volver a ir y tomar mejores fotos de antes. ¿Quieres venir conmigo?,Kailangan ko din kumuha ng mas magandang pic. Gusto mo sumama?,我得出去拍点更好看的照片了，要一起吗？
Text/b4/text,That's okay. I'll see you on our dream date!💕,Esta bien. ¡Como quiera te vere duerante nuestra cita perfecta!💕,"Sureness, g lang. See you sa dream date natin! 💕",没关系，等到我们的完美约会时，自然就能见到你本人啦！💕
Text/b5/text,Cus that's what that plan sounds like to me!!,¡¡Porque haci me suena ese plan!!,Parang eto na talaga 'yung plan for us!,因为你这个提议，听起来完全就是在约我嘛！！
Text/b6/text,It's time to partay!!!🥳🥳,¡¡¡Hora de bailar!!!🥳🥳,Tara partaaayyy!!,是时候开趴啦！🥳🥳
