keys,en
Text/3d/text,[lspeed = 0.05]You and Ada head out to the hottest club in town!
Text/3e/text,[lspeed = 0.05]They're fun and prettier than in their photos. Not a single lie about them being the life of the party was told.
Text/3f/text,[lspeed = 0.05]Wooo!
Text/40/text,[lspeed = 0.05]I love this song!
Text/41/text,[lspeed = 0.05]Let's dance until we drop!
Text/42/text,[lspeed = 0.05]You better keep up okay? I want to party all night!
Text/43/text,[lspeed = 0.05]The energy they carry is electric.
Text/44/text,"[lspeed = 0.05]While the sparkle of their dress and the body glitter isn’t the only thing that keeps your eyes on them all night, they certainly do help."
Text/45/text,[lspeed = 0.05]They clearly feel the spark since they dance close to you all night.
Text/46/text,"[lspeed = 0.05]You both dance, you twirl them, their dress catching the light."
Text/47/text,[lspeed = 0.05]Two cosmos please!
Text/48/text,"[lspeed = 0.05]You’ll looove the Cosmos here, they’re so good!"
Text/49/text,"[lspeed = 0.05]She handed you the drink once they arrived, clinking their glass against yours."
Text/4a/text,"[lspeed = 0.05]You pretend to drink as much as they do, watching them down pretty sunset colored drinks all night, waiting patiently until they reach their limit."
Text/4b/text,"[lspeed = 0.05]Once they’re ready to go home, probably a little more drunk than they usually let themselves get, you are quick to offer a ride. They giggle roughly."
Text/4c/text,[lspeed = 0.05]You are sooo sweet…
Text/4d/text,[lspeed = 0.05]And you simply reply that you were more than happy to take care of them.
Text/4e/text,"[lspeed = 0.05]They accept and you get them to your car with ease… The ride back is quiet, with Ada falling asleep in your seat."
Text/4f/text,"[lspeed = 0.05]You carry them inside, under the cover of darkness."
Text/50/text,[lspeed = 0.05]You were hungry.
Text/51/text,"[lspeed = 0.05]You pull out soy sauce, vinegar, onion, garlic, ginger, oyster sauce, bay leaves and various seasonings. Everything you needed except the main ingredient…"
Text/52/text,[lspeed = 0.05]You glance over at the octopus then at the clock. The marinade for this dish took a while so you should do it now.
Text/53/text,"[lspeed = 0.05]Your knife cuts into flesh with no struggle, thanks to the alcohol."
Text/54/text,"[lspeed = 0.05]You let the meat sit while you get everything else ready so the flavor really soaks into the flesh. You moved around the kitchen, chopping, washing rice."
Text/55/text,"[lspeed = 0.05]When it was time, you threw your prepared ingredients into a frying pan, waiting for the aromatics to start filling the kitchen."
Text/56/text,"[lspeed = 0.05]You add the octopus ink, letting it simmer and blanching the octopus so you could add it once the sauce was reduced Perfect."
Text/57/text,"[lspeed = 0.05]Poor Ada, bright and soft Ada."
Text/58/text,"[lspeed = 0.05]The Octopus Aquakin who shone like a bright flame, smothered too soon… But at least you got a delicious dinner out of them, right?"
