key,en,es,fil,zh_CN
Text/3d/text,[lspeed = 0.05]You and Ada head out to the hottest club in town!,[lspeed = 0.05]Tu y Ada salen al club mas de moda de la ciudad!,,
Text/3e/text,[lspeed = 0.05]They're fun and prettier than in their photos. Not a single lie about them being the life of the party was told.,[lspeed = 0.05]Elles son divertide y mas radiante que sus fotos.,,
Text/3f/text,[lspeed = 0.05]Wooo!,[lspeed = 0.05]Wuuu!,,
Text/40/text,[lspeed = 0.05]I love this song!,[lspeed = 0.05]Amo esta cancion!,,
Text/41/text,[lspeed = 0.05]Let's dance until we drop!,[lspeed = 0.05]Vamos a bailar asta caer!,,
Text/42/text,[lspeed = 0.05]You better keep up okay? I want to party all night!,[lspeed = 0.05]Mas te vale no te quedes atras! Quiero festiar toda la noche!,,
Text/43/text,[lspeed = 0.05]The energy they carry is electric.,[lspeed = 0.05]La energia que elle carge es electrice.,,
Text/44/text,"[lspeed = 0.05]While the sparkle of their dress and the body glitter isn’t the only thing that keeps your eyes on them all night, they certainly do help.","[lspeed = 0.05]Mientras el brillo de su vestido y la brillantina de cuerpo no son lo unico que mantiene tu mirar fija en elles durante toda la noche, sin duda ayudan.",,
Text/45/text,[lspeed = 0.05]They clearly feel the spark since they dance close to you all night.,[lspeed = 0.05]Claramente si sienten una chispa porque bailen cerca de ti toda la noche.,,
Text/46/text,"[lspeed = 0.05]You both dance, you twirl them, their dress catching the light.","[lspeed = 0.05]Lo dos bailan, tu le gires, su vestido reflejando la luz.",,
Text/47/text,[lspeed = 0.05]Two cosmos please!,[lspeed = 0.05]Dos Cosmo por favor!,,
Text/48/text,"[lspeed = 0.05]You’ll looove the Cosmos here, they’re so good!","[lspeed = 0.05]Te encantaran los Cosmos aqui, son tan ricos!",,
Text/49/text,"[lspeed = 0.05]They handed you the drink once they arrived, clinking their glass against yours.","[lspeed = 0.05]Ada te pasa tu bebida cuando llega, chocando sus copas juntas.",,
Text/4a/text,"[lspeed = 0.05]You pretend to drink as much as they do, watching them down pretty sunset colored drinks all night, waiting patiently until they reach their limit.","[lspeed = 0.05]Finges beber tanto como elles, observandoles trasegar bebidas de colores bonitos de atardecer durante toda la noche. Mientra esperas pacientemente a que pasen sus limites.                                                                ",,
Text/4b/text,"[lspeed = 0.05]Once they’re ready to go home, probably a little more drunk than they usually let themselves get, you are quick to offer a ride. They giggle roughly.","[lspeed = 0.05]Una vez que este liste para irse a la casa, probablemente un poco mas ebrie de que normalmente se permite estar, te apresuras a ofrecer llevarle a casa. Elle rie y dice algo como,",,
Text/4c/text,[lspeed = 0.05]You are sooo sweet…,[lspeed = 0.05]Eres un encanto…,,
Text/4d/text,[lspeed = 0.05]And you simply reply that you were more than happy to take care of them.,[lspeed = 0.05]Tu simplemente respondes que estas mas de feliz de ocuparte de elle.,,
Text/4e/text,"[lspeed = 0.05]They accept and you get them to your car with ease… The ride back is quiet, with Ada falling asleep in your seat.","[lspeed = 0.05]Ada acepta y tu le lleves a tu coche con facilidad… El viaje a casa es callado, con Ada quedandose dormide en tu asiento.",,
Text/4f/text,"[lspeed = 0.05]You carry them inside, under the cover of darkness.","[lspeed = 0.05]Le carges adentro, bajo el manto de la oscuridad.",,
Text/50/text,[lspeed = 0.05]You were hungry.,[lspeed = 0.05]Tenias hambre.,,
Text/51/text,"[lspeed = 0.05]You pull out soy sauce, vinegar, onion, garlic, ginger, oyster sauce, bay leaves and various seasonings. Everything you needed except the main ingredient…","[lspeed = 0.05]Sacas salsa de soja, vinagre, ajo, jengibre, salsa de ostra, hojas de laurel y una variedad de sazones. Todo lo que necesitas excepto el ingrediente principal…",,
Text/52/text,[lspeed = 0.05]You glance over at the octopus then at the clock. The marinade for this dish took a while so you should do it now.,[lspeed = 0.05]Volteas a mirar al pulpo y luego al reloj. La marinada para este platillo lleva tiempo so lo deberias hacer ahora.,,
Text/53/text,"[lspeed = 0.05]Your knife cuts into flesh with no struggle, thanks to the alcohol.","[lspeed = 0.05]Tu cuchillo corta la piel sin resitencia, gracias al alcohol.",,
Text/54/text,"[lspeed = 0.05]You let the meat sit while you get everything else ready so the flavor really soaks into the flesh. You moved around the kitchen, chopping, washing rice.","[lspeed = 0.05]Dejas que la carne descanse adentro mientras tu preparas lo demas para que absorba el sabor.e mueves por la cocina, cortando, lavando arroz. ",,
Text/55/text,"[lspeed = 0.05]When it was time, you threw your prepared ingredients into a frying pan, waiting for the aromatics to start filling the kitchen.","[lspeed = 0.05]Cuando llego la hora, metes todo tus ingredientes preparados al sarten, esperando a que sus aromas empiezen a llenar la cosina.",,
Text/56/text,"[lspeed = 0.05]You add the octopus ink, letting it simmer and blanching the octopus so you could add it once the sauce was reduced. Perfect.","[lspeed = 0.05]Agregas el tinte de pulpo, dejan que cocine en fuego bajo y escaldas al pulpo para poder agregarlo cuando la salsa se redusca a la perfeccion.",,
Text/57/text,"[lspeed = 0.05]Poor Ada, bright and soft Ada.","[lspeed = 0.05]Pobre Ada, brillante y suave Ada.",,
Text/58/text,"[lspeed = 0.05]The Octopus Aquakin who shone like a bright flame, smothered too soon… But at least you got a delicious dinner out of them, right?","[lspeed = 0.05]El Pulpo Aquakin que era brillante como una flama, asfixiade demaciado pronto… Pero al menos tuviste una cena deliciosa gracias a eso, ¿verdad?",,
