key,en,es,fil,zh_CN
Text/237/text,Hello. I am Socorro. I saw your pictures and think your gloves are very nice.,Hola. Soy Socorro. Vi tus fotos y creo que tus guantes son muy bonitos.,,你好，我是Socorro。你照片里的那副手套很好看。
Text/238/text,May I ask where you got those green onions?,¿Podría preguntar dónde conseguiste esas cebolletas?,,可以问一下，那些青葱是从哪里买的吗？
Choice/239/text,Thank you beautiful,Gracias hermosa,,谢了，亲爱的
Choice/239/disabled_text,,,,
Text/23a/text,"Wow, thanks! I think your eyes are beautiful!","¡Guau, gracias! ¡Creo que tienes unos ojos preciosos!",,哇，谢谢夸奖！我觉得你的眼睛也很漂亮！
Text/23b/text,"Oh, thank you... That is very kind of you. You did not answer about your green onions, does that mean do you not want to answer? If so, that is alright!","Oh, gracias... Es muy amable de tu parte. No respondiste sobre tus cebolletas; ¿eso significa que no quieres responder? Si es así, ¡no pasa nada!",,哦，谢谢...你太客气了。不过，你还没有回答我关于青葱的问题，是不方便说吗？如果是的话，也没关系！
Choice/23c/text,"The store, why?","La tienda, ¿Porque?",,超市买的，怎么了？
Choice/23c/disabled_text,,,,
Text/23d/text,"Oh, sorry! I got them from the grocery store near me. Why? Did you want to go shopping with me?","¡Ah, perdon! Los compré en el supermercado que tengo cerca. ¿Por qué? ¿Querías ir de compras conmigo?",,啊，不好意思！那些是在我家附近的超市买的。你问这个，是想约我去逛超市？
Text/23e/text,"No. I apologize, I am sure you are great to shop with, that is just not what I meant. Are you normally this forward?","No. Te pido disculpas, estoy segura de que es un placer ir de compras contigo, pero no era eso a lo que me refería.",,不是啦，对不起。我觉得你一定是个不错的购物搭子，但我刚刚不是在暗示这个。你平时都这么直接吗？
Choice/23f/text,No time to waste.,No hay tiempo que perder.,,时间宝贵，别绕弯子
Choice/23f/disabled_text,,,,
Text/240/text,"I think there is no time to waste, I fell in love with your eyes and would like to get to know you.","Creo que no hay tiempo que perder, me enamoré de tus ojos y me gustaría conocerte.",,我不想浪费彼此时间。看到你的眼睛时我就心动了，所以想深入了解你。
Text/241/text,"I am sorry, you are obviously looking for someone who is more ready to move to the next step than me. I don't think we fit each other. I will unmatch with you now.","Lo siento, pero es evidente que buscas a alguien más preparada que yo para dar el siguiente paso. No creo que encajemos. Voy a quebrar la conexión ahora.",,抱歉，你似乎想找一个能更快和你发展关系的人，而我还没有准备好。我们可能并不适合，我还是先取消配对吧。
Choice/242/text,"Sorry, but...",Perdon pero...,,对不起，但...
Choice/242/disabled_text,,,,
Text/243/text,"Sorry if I came on too strong, but this app is for dating right?","Perdon si me he mostrado demasiada lanzada, pero esta aplicación es para encontrar una cita, ¿O, no?",,我可能有些操之过急，我向你道歉。但这个软件不就是用来约会的吗？
Text/244/text,I suppose you are right but everyone will have different speeds they are comfortable with no? I think you and I aren't compatible. I will unmatch with you now.,"Supongo que tienes razón, pero cada persona se siente cómoda con ritmos diferentes, ¿no? Creo que tú y yo no somos compatibles. Voy a quebrar la conexión ahora.",,你说得也没错，只是每个人都有自己觉得舒服的恋爱节奏，不是吗？我觉得我们不太适合，我会取消配对。
Choice/245/text,"Not usually, but...","Regularmente no, pero...",,我平时不会这样，但这次...
Choice/245/disabled_text,,,,
Text/246/text,"Not usually, I typically prefer slower romance. But I really want to go on a date today.","No normalmente, you prefiero  romance lento. Pero quiero salir con alguien hoy. ",,一般来说，我比较喜欢细水长流的感情。不过今天，我真的很想和人约会。
Text/247/text,"I understand but I do not think I am the right person for you if that's what you're looking for! Sorry, I will unmatch you now.","Lo entiendo, pero no creo que soy la persona correcta para ti si eso es lo que buscas. Lo siento, voy a quebrar la conexión ahora.",,我理解你的想法，但如果你想要的是这个，那我恐怕不适合你。抱歉，我现在就会解除配对。
Choice/248/text,"No, more effort","No, es mas esfuerzo",,不行，再用点心
Choice/248/disabled_text,,,,
Text/249/text,"They're just green onions, I didn't realize it was super important, my bad.","Son solo cebolletas, no me di cuenta de que fuera tan importantes, fue mi error.",,只是些葱而已，我没想到这事这么重要，抱歉。
Text/24a/text,"That is true! However, I personally feel that the source of your ingredients matters a lot. I promise if you try, you might fall in love.","¡Eso es cierto! Sin embargo, personalmente creo que el origen de los ingredientes es muy importante. Te prometo que, si lo pruebas, podrías enamorarte.",,是这样没错！但我始终觉得，食材的来源会带来很大的不同。你如果肯试一试，也许就会改观，甚至喜欢上。
Choice/24b/text,"No thanks, shill","No, gracias, promotora",,免了吧，推销员
Choice/24b/disabled_text,,,,
Text/24c/text,"I think I am good, even though I am sure your produce is great. Are you trying to sell on the app? Or is that your only interest?","Creo que estoy bien asi, aunque estoy segura de que tus productos son excelentes. ¿Estás intentando vender a través de la aplicación? ¿O es ese tu único interés?",,谢谢，不过我不需要。你的农产品应该很好，但你是来这里推销的吗？还是你平时只对这个感兴趣？
Text/24d/text,"I apologize, I clearly did not pick the right topic... And you seem quite unkind. I do not think I want to continue this conversation however, so I will unmatch you now.","Te pido disculpas, claramente elegi el tema adecuado... y pareces bastante desagradable. Sin embargo, no creo que quiera continuar con esta conversacion, asi que voy a quebrar la conexion ahora.",,抱歉，看来我确实不该聊这个...但你说话实在有些伤人。我不想再继续交流了，现在会取消配对。
Choice/24e/text,Maybe sometime,Al a mejor,,或许改天吧
Choice/24e/disabled_text,,,,
Text/24f/text,I don't really think it matters much? I have never met someone who cares so much before,¿No creo que importa tanto? Nunca he concido a alguien que le importe tanto,,这真的有那么重要吗？我还是第一次见有人这么在意这个。
Text/250/text,"It is my life's work, I apologize for being strange... I do not want to continue. I will unmatch you now.","Es a lo que dedique mi vida, perdon por ser rara... No quiero continuar. Voy a quebrar la conexion ahora.",,这是我倾注一生的事业。抱歉，我可能是有点奇怪...我不想再聊下去了。就到这里吧，我会取消配对。
Choice/251/text,Persuaded too easily,Facil de comvencer,,太容易被说服了
Choice/251/disabled_text,,,,
