key,en,es,fil,zh_CN
Text/59/text,[lspeed = 0.05] Unlike the tall handsome Lionfish you expected...,[lspeed = 0.05] A diferencia de lo que esperabas...,,
Text/5a/text,[lspeed = 0.05] The real Khanh turned out to be… A Catfish!,"[lspeed = 0.05] No te encontraste con un pez leon, la verdad era que el perfil de Khanh… era falso!",,
Text/5b/text,"[lspeed = 0.05] It’s a good thing you are a kind and understanding soul, isn’t it?","[lspeed = 0.05] Es buena cosa que eres una alma buena y comprensiva, ¿o no?",,
Text/5c/text,[lspeed = 0.05] He seemed nervous until you reassured him that you didn’t mind and would like to get to know him anyway.,[lspeed = 0.05] Parecia esta nervioso hasta que le aserguraste que no te molesta y lo quieres conocer como quiera.,,
Text/5d/text,[lspeed = 0.05] You spend hours browsing the shelves of the shop and listening to him talk about his interest.,[lspeed = 0.05] Pasan las horas curioseando los estantes de la tienda y escuchandolo hablar de sus intereses.,,
Text/5e/text,[lspeed = 0.05] And that’s why I think Fishman is so impactful regardless of who you are!,[lspeed = 0.05] Y por eso es que pienso que El Hombre Pez es tan impactante sin importar quien eres!,,
Text/5f/text,"[lspeed = 0.05] The drive to take abilities that make you inherently dangerous and use them to defend everyone, stepping out of the role you’ve been assigned by others and deciding who you want to be for the world.","[lspeed = 0.05] El impulso para tomar abilidades que te hace inherentemente peligroso y usar las para defender a todos, saliendo del papel que ten han asignado los demas y decidiendo quien quieres ser para el mundo.",,
Text/60/text,[lspeed = 0.05] His eyes glimmer and his voice softens momentarily as he says the last bit of the monologue with a sheepish tone.,[lspeed = 0.05] Sus ojos brillan y su vos baja en volumen un momento mientras termina su monólogo con tono timido.,,
Text/61/text,[lspeed = 0.05] I want to be the kind of Aquakin that can do that some day…,[lspeed = 0.05] Quiero ser ese tipo de Aquakin algun dia…,,
Text/62/text,[lspeed = 0.05] Thankfully he was so wrapped up in the excitement he didn’t realize how much you didn’t know… and how much you seemed to be zoning out and running your eyes over the scales of his head instead of digesting anything he said.,"[lspeed = 0.05] Por suerte estaba tan envuelto en su entusiasmo que no se dio cuenta cuanto no sabias… y que que mientras tus ojos corrian sobre las escamas de su cara, tu mente estaba en las nuves enves de digerir lo que te estaba diciendo.",,
Text/63/text,[lspeed = 0.05] He wasn’t exactly rushing to go home with you at the end of the night…,[lspeed = 0.05] No estaba exactamente emocionado para regresar a tu casa al final de la noche…,,
