keys,en
Text/237/text,Hello. I am Socorro. I saw your pictures and think your gloves are very nice.
Text/238/text,May I ask where you got those green onions?
Choice/239/text,Thank you beautiful
Choice/239/disabled_text,
Text/23a/text,"Wow, thanks! I think your eyes are beautiful!"
Text/23b/text,"Oh, thank you... That is very kind of you. You did not answer about your green onions, does that mean do you not want to answer? If so, that is alright!"
Choice/23c/text,"The store, why?"
Choice/23c/disabled_text,
Text/23d/text,"Oh, sorry! I got them from the grocery store near me. Why? Did you want to go shopping with me?"
Text/23e/text,"No. I apologize, I am sure you are great to shop with, that is just not what I meant. Are you normally this forward?"
Choice/23f/text,No time to waste.
Choice/23f/disabled_text,
Text/240/text,"I think there is no time to waste, I fell in love with your eyes and would like to get to know you."
Text/241/text,"I am sorry, you are obviously looking for someone who is more ready to move to the next step than me. I don't think we fit each other. I will unmatch with you now."
Choice/242/text,"Sorry, but..."
Choice/242/disabled_text,
Text/243/text,"Sorry if I came on too strong, but this app is for dating right?"
Text/244/text,I suppose you are right but everyone will have different speeds they are comfortable with no? I think you and I aren't compatible. I will unmatch with you now.
Choice/245/text,"Not usually, but..."
Choice/245/disabled_text,
Text/246/text,"Not usually, I typically prefer slower romance. But I really want to go on a date today."
Text/247/text,"I understand but I do not think I am the right person for you if that's what you're looking for! Sorry, I will unmatch you now."
Choice/248/text,"No, more effort"
Choice/248/disabled_text,
Text/249/text,"They're just green onions, I didn't realize it was super important, my bad."
Text/24a/text,"That is true! However, I personally feel that the source of your ingredients matters a lot. I promise if you try, you might fall in love."
Choice/24b/text,"No thanks, shill"
Choice/24b/disabled_text,
Text/24c/text,"I think I am good, even though I am sure your produce is great. Are you trying to sell on the app? Or is that your only interest?"
Text/24d/text,"I apologize, I clearly did not pick the right topic... And you seem quite unkind. I do not think I want to continue this conversation however, so I will unmatch you now."
Choice/24e/text,Maybe sometime
Choice/24e/disabled_text,
Text/24f/text,I don't really think it matters much? I have never met someone who cares so much before
Text/250/text,"It is my life's work, I apologize for being strange... I do not want to continue. I will unmatch you now."
Choice/251/text,Persuaded too easily
Choice/251/disabled_text,
Text/252/text,"Hm, maybe you have a point? But I can't tell if that is because I am easy to persuade and not because it actually matters... Maybe I will try... Or not"
Text/253/text,I am glad you are willing to give them a try but I think the way we see things is too different. I will unmatch now.
Choice/254/text,Oh sorry!
Choice/254/disabled_text,
Text/255/text,"Oh, sorry. That must've seen impolite... I was just distracted. I got farmers’ market, I prefer it over the fluorescence of the grocery store."
Text/256/text,Oh! I do too! What a happy coincidence huh? What do you usually shop for?
Choice/257/text,I go to haggle
Choice/257/disabled_text,
Text/258/text,Whatever I need at the moment. I like that you can haggle with the vendors unlike the grocery store
Text/259/text,"Oh! You know, local farmers can not really compete with chain grocery stores. Haggling them is not the best practice... I do not think we could even be friends. I will unmatch with you now."
Choice/25a/text,Anything but produce
Choice/25a/disabled_text,
Text/25b/text,Things like bread or other cooked goods. I don't like buying dirty vegetables... I have to wash them
Text/25c/text,"You understand that grocery vegetables are also dirty... You should be washing them too- Ah, I do not think we are compatible. I will unmatch with you now."
Choice/25d/text,Anything yummy
Choice/25d/disabled_text,
Text/25e/text,"I don’t usually go with a set list or plan, just whatever looks yummy... I think wandering is part of the appeal"
Text/25f/text,"I know what you mean, the scents and colors are so pretty. Since we can not go tonight, how about we hang out at a diner? On me, of course."
Choice/260/text,Where everyone else does
Choice/260/disabled_text,
Text/261/text,"The store, isn't that where everyone shops?"
Text/262/text,"Well, not everyone! I personally sell my veggies at the farmers’ market. Have you ever been?"
Choice/263/text,Overpriced honestly
Choice/263/disabled_text,
Text/264/text,Yea but it's overpriced. Do you give freebies to your dates? I could take you out for some free produce.
Text/265/text,"If I gift someone something, it is usually flowers... Are you saying you only want to get free stuff?"
Choice/266/text,Market focused
Choice/266/disabled_text,
Text/267/text,"Well, we really haven't talked about anything else and you seem cute but at this point it feels like I know more about the market than you"
Text/268/text,"I am sorry, you clearly feel like this conversation was a waste of time and I am starting to feel the same. I will unmatch with you now."
Choice/269/text,As a bonus
Choice/269/disabled_text,
