key,en,es,fil,zh_CN
Text/9f/text,Hiya!😘 Just got off work!,¡Holi holi!😘 ¡Acabo de salir del trabajo!,,
Text/a0/text,Sorry to keep you waiting~,Perdon por la espera~,,
Text/a1/text,Being a shop owner is just soooo busy. Would totes make me dizzy😵‍💫,Ser dueña de una tienda me mantiene taaan ocupada. Casi suficiente para mariar😵‍💫,,
Text/a2/text,Well,Bueno,,
Text/a3/text,"WOULD, if I wasn't such a natural at it~","SERIA, si no me viniera tan naturalmente~",,
Text/a4/text,Hopefully I'm not disturbing your work hours!,¡Ojalá no te este molestando en el trabajo!,,
Text/a5/text,Speaking of...,Hablando de eso...,,
Text/a6/text,What do you do for work?,¿En que trabajas?,,
Choice/a7/text,A chef,Un chef,,
Choice/a7/disabled_text,,,,
Text/a8/text,"I'm the owner and chef at our town's fanciest restaurant, I make good money and it makes me an excellent cook.",Soy dueño y chef del restaurante mas lujurioso de nuestra ciudad. Hago buen dinero y me hace un concinero excelente. Me encantaria cocinarte halgo.,,
Text/a9/text,I'd love to make you something.,Me encantaria cocinarte halgo.,,
Text/aa/text,"Wow, wow, wow!","¡Wow, wow, wow!",,
Text/ab/text,I looove that!,¡Eso me encanta!,,
Text/ac/text,And I love that place! 🥰🥰,¡Y me encanta ese lugar! 🥰🥰,,
Text/ad/text,Two business owners?! We could like totally be the faces of this town!,"Seriamos dos dueños de negocio, podiamos ganar popularidad",,
Text/ae/text,The food in your picture DOES look yummy.,La comida en tus fotos si se mira DELICIOSA.,,
Text/af/text,"Speaking of which, why can't I see your face?","¿Hablando de eso, no tienes fotos donde pueda ver tu cara?",,
Choice/b0/text,Not flattering,No me halagan,,
Choice/b0/disabled_text,,,,
Text/b1/text,All my pictures are of me at the club so they're not exactly flattering,"Todas mis fotos so de me en el antro, no salen halagador",,
Text/b2/text,But I love to socialize in my free time.,Pero me encanta salir a socializar cuando tengo tiempo,,
Text/b3/text,"I need to go out and take better pictures, wanna come with?",Tengo que volver a ir y tomar mejores fotos de antes. ¿Quieres venir conmigo?,,
Text/b4/text,That's okay. I'll see you on our dream date!💕,Esta bien. ¡Como quiera te vere duerante nuestra cita perfecta!💕,,
Text/b5/text,Cus that's what that plan sounds like to me!!,¡¡Porque haci me suena ese plan!!,,
Text/b6/text,It's time to partay!!!🥳🥳,¡¡¡Hora de bailar!!!🥳🥳,,
Text/b7/text,Got any fave tunes to dance to?,¿A que musica te gusta bailar?,,
Choice/b8/text,Anything!,¡A lo que sea!,,
Choice/b8/disabled_text,,,,
Text/b9/text,I love anything that makes me feel it in my bones.,¡Amo lo que me haga sentirlo en los huesos!,,
Text/ba/text,I need to be able to dance to the beat!,¡Necisto poder bailar al ritmo!,,
Text/bb/text,OMG!!💕💕,¡¡OMG!!💕💕,,
Text/bc/text,Me too!,¡Yo tambien!,,
Text/bd/text,We should dance together!💃💃💃,¡Deberiamos bailar juntos! ¡Esta noche💃💃💃,,
Text/be/text,Let's decide on where to go! TONITE!,¡Vamos a decidir a donde ir! ESTA noche!🪩,,
Choice/bf/text,Nothing in particular,Nada en particular,,
Choice/bf/disabled_text,,,,
Text/c0/text,"I love what everyone else loves, I'm not particular about what I listen to...","Me gusta los que le gusta a los desmas, no soy particular en lo que escucho...",,
Text/c1/text,I think knowing what you like is soooo important!!!,¡¡¡Creo que saber lo que te gusta es muuuy importante!!!,,
Text/c2/text,but 🤚🤚!!,¡¡Perooo 🤚🤚!!,,
Text/c3/text,You can always get a strong opinion as you explore,Siempre puedes formar opiniones fuertas con explorar,,
Text/c4/text,So let's explore 🗺🗺 tonite!,¡Entonces vamos a explorar 🗺🗺 esta noche!,,
Text/c5/text,Classical,Clásica,,
Choice/c6/text,,,,
Choice/c6/disabled_text,I love slow classical... Melodic soft music is the best...,Me gusta la clásica ... Creo que la musica melódica es la mejor…,,
Text/c7/text,Oh!,¡Ah!,,
Text/c8/text,"Welll, I hope you're open to learning to 💕LOVE💕 something new!","¡Puees, espero que te sientas abierto para aprender como 💕AMAR💕 algo nuevo!",,
Text/c9/text,Let's show you what you're missing tonite!🌟,"¡Vamos esta noche, para enseñar te de lo que te pierdes!🌟 ",,
Text/ca/text,Undecided,No puedo decidir,,
Choice/cb/text,,,,
Choice/cb/disabled_text,"I haven't been able to decide which my selfies to put up but you're right, I should.","No he podido decidir cuales subir, pero tienes razón. Deberia.",,
Text/cc/text,I will do that soon,Lo hare pronto,,
Text/cd/text,Now is always better than soon or later!,¡Ahora es siempre mejor que despues!,,
Text/ce/text,You should totally get to it! ⏰⏰⏰,¡Deberias hacerlo ahora! ⏰⏰⏰,,
Text/cf/text,"After that tell me, what do you do for fun?!","¡¿Despues de eso dime, que haces por diversión?!",,
Text/d0/text,Fun is important to me so I must know❗❗,"La deversión es muy importante para mi, necesito saber❗❗",,
Text/d1/text,Full Adventures,Aventuras enteras,,
Choice/d2/text,,,,
Choice/d2/disabled_text,"I love going on adventures, I'm a thrill seeker, especially if I can do it in a group!","Me encanta ir de aventuras, soy un amante de la adrenalina, especialmente las de grupo!",,
Text/d3/text,Wow!!,¡¡Wow!!,,
Text/d4/text,That's totes sooo cool 😎😎.,Que padre 😎😎.,,
Text/d5/text,How about one tonite?,¿Y vamos de aventura esta noche?,,
Text/d6/text,Party time!🥂,¡Hora de bailar!🥂,,
Text/d7/text,Go out Sometimes,A veces salgo,,
Choice/d8/text,,,,
Choice/d8/disabled_text,"I go out once in a while, usually wherever my friends decide",A veces cuando mis amigos quieren ir...,,
Text/d9/text,"I couldn't do it every day though, I don't have the energy...","No creo que lo podria hacer cada noche, no tengo la energia...",,
Text/da/text,Oh!,¡Ah!,,
Text/db/text,You might have missed it but I love going out every night!,¡Al a mejor se te paso pero you salgo cada noche!,,
Text/dc/text,You’re not the one for me!🥀,¡No eres para mi!🥀,,
Text/dd/text,Sea ya~!,¡Nos vemos~!,,
Text/de/text,Homebody,Me quedo en casa,,
Choice/df/text,,,,
