keys,en
Text/9f/text,Hiya!😘 Just got off work!
Text/a0/text,Sorry to keep you waiting~
Text/a1/text,Being a shop owner is just soooo busy. Would totes make me dizzy😵‍💫
Text/a2/text,Well
Text/a3/text,"WOULD, if I wasn't such a natural at it~"
Text/a4/text,Hopefully I'm not disturbing your work hours!
Text/a5/text,Speaking of...
Text/a6/text,What do you do for work?
Choice/a7/text,A chef
Choice/a7/disabled_text,
Text/a8/text,"I'm the owner and chef at our town's fanciest restaurant, I make good money and it makes me an excellent cook."
Text/a9/text,I'd love to make you something.
Text/aa/text,"Wow, wow, wow!"
Text/ab/text,I looove that!
Text/ac/text,And I love that place! 🥰🥰
Text/ad/text,Two business owners?! We could like totally be the faces of this town!
Text/ae/text,The food in your picture DOES look yummy.
Text/af/text,"Speaking of which, why can't I see your face?"
Choice/b0/text,Not flattering
Choice/b0/disabled_text,
Text/b1/text,All my pictures are of me at the club so they're not exactly flattering
Text/b2/text,But I love to socialize in my free time.
Text/b3/text,"I need to go out and take better pictures, wanna come with?"
Text/b4/text,That's okay. I'll see you on our dream date!💕
Text/b5/text,Cus that's what that plan sounds like to me!!
Text/b6/text,It's time to partay!!!🥳🥳
Text/b7/text,Got any fave tunes to dance to?
Choice/b8/text,Anything!
Choice/b8/disabled_text,
Text/b9/text,I love anything that makes me feel it in my bones.
Text/ba/text,I need to be able to dance to the beat!
Text/bb/text,OMG!!💕💕
Text/bc/text,Me too!
Text/bd/text,We should dance together!💃💃💃
Text/be/text,Let's decide on where to go! TONITE!
Choice/bf/text,Nothing in particular
Choice/bf/disabled_text,
Text/c0/text,"I love what everyone else loves, I'm not particular about what I listen to..."
Text/c1/text,Fun is important to me so I must know❗❗
Text/c2/text,I think knowing what you like is soooo important!!!
Text/c3/text,but 🤚🤚!!
Text/c4/text,You can always get a strong opinion as you explore
Text/c5/text,So let's explore 🗺🗺 tonite!
Choice/c6/text,Classical
Choice/c6/disabled_text,
Text/c7/text,I love slow classical... Melodic soft music is the best...
Text/c8/text,Oh!
Text/c9/text,"Welll, I hope you're open to learning to 💕LOVE💕 something new!"
Text/ca/text,Let's show you what you're missing tonite!🌟
Choice/cb/text,Undecided
Choice/cb/disabled_text,
Text/cc/text,"I haven't been able to decide which my selfies to put up but you're right, I should."
Text/cd/text,I will do that soon
Text/ce/text,Now is always better than soon or later!
Text/cf/text,You should totally get to it! ⏰⏰⏰
Text/d0/text,"After that tell me, what do you do for fun?!"
Text/d1/text,Fun is important to me so I must know❗❗
Choice/d2/text,Full Adventures
Choice/d2/disabled_text,
Text/d3/text,"I love going on adventures, I'm a thrill seeker, especially if I can do it in a group!"
Text/d4/text,Wow!!
Text/d5/text,That's totes sooo cool 😎😎.
Text/d6/text,How about one tonite?
Text/d7/text,arty time!🥂
Choice/d8/text,Go out Sometimes
Choice/d8/disabled_text,
Text/d9/text,"I go out once in a while, usually wherever my friends decide"
Text/da/text,"I couldn't do it every day though, I don't have the energy..."
Text/db/text,Oh!
Text/dc/text,You might have missed it but I love going out every night!
